,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
19,2016,ago,DESPORTO E LAZER,"34.981.094,00","4.009.436,07","31.704.878,90"
20,2016,ago,ENCARGOS ESPECIAIS,"227.184.997,00","11.246.141,84","94.063.464,72"
21,2016,ago,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,ago,TOTAIS,"7.272.573.519,00","526.389.691,86","4.051.910.185,00"
0,2016,jul,LEGISLATIVA,"159.550.140,00","9.974.973,65","105.860.288,45"
1,2016,jul,JUDICIARIA,"44.437.473,00","3.342.899,39","24.242.123,56"
2,2016,jul,ESSENCIAL A JUSTICA,"110.000,00","14.649,74","70.261,38"
3,2016,jul,ADMINISTRACAO,"724.082.745,00","44.472.693,94","316.068.699,86"
4,2016,jul,SEGURANCA PUBLICA,"193.416.089,00","17.010.285,66","121.045.497,05"
5,2016,jul,ASSISTENCIA SOCIAL,"116.810.270,00","7.884.366,86","50.131.555,91"
6,2016,jul,PREVIDENCIA SOCIAL,"652.265.207,00","48.896.544,48","355.118.215,89"
7,2016,jul,SAUDE,"2.195.496.303,00","144.627.879,32","1.020.077.719,16"
8,2016,jul,TRABALHO,"17.827.334,00","401.418,84","3.216.099,88"
9,2016,jul,EDUCACAO,"1.436.488.813,00","102.790.108,95","732.458.255,70"
10,2016,jul,CULTURA,"88.398.641,00","2.197.204,61","31.330.724,97"
11,2016,jul,DIREITOS DA CIDADANIA,"58.297.353,00","3.262.887,61","26.356.609,46"
12,2016,jul,URBANISMO,"850.974.051,00","74.245.167,47","534.940.702,30"
13,2016,jul,HABITACAO,"132.108.148,00","2.107.702,47","13.514.289,79"
14,2016,jul,GESTAO AMBIENTAL,"121.621.983,00","7.839.440,51","66.493.836,69"
15,2016,jul,CIENCIA E TECNOLOGIA,"11.238.857,00","264.017,64","1.625.155,48"
16,2016,jul,AGRICULTURA,"105.000,00","0,00","0,00"
17,2016,jul,COMERCIO E SERVICOS,"206.959.021,00","678.796,96","12.457.691,90"
18,2016,jul,COMUNICACOES,"110.000,00","0,00","0,00"
19,2016,jul,DESPORTO E LAZER,"34.981.094,00","1.993.946,76","27.695.442,83"
20,2016,jul,ENCARGOS ESPECIAIS,"227.184.997,00","6.451.013,28","82.817.322,88"
21,2016,jul,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,jul,TOTAIS,"7.272.573.519,00","478.455.998,14","3.525.520.493,14"
0,2016,jun,LEGISLATIVA,"159.550.140,00","16.160.073,95","95.885.314,80"
1,2016,jun,JUDICIARIA,"44.437.473,00","4.218.151,12","20.899.224,17"
2,2016,jun,ESSENCIAL A JUSTICA,"110.000,00","19.385,00","55.611,64"
3,2016,jun,ADMINISTRACAO,"724.082.745,00","59.019.429,28","271.596.005,92"
4,2016,jun,SEGURANCA PUBLICA,"193.416.089,00","19.759.581,39","104.035.211,39"
5,2016,jun,ASSISTENCIA SOCIAL,"116.810.270,00","9.828.745,13","42.247.189,05"
6,2016,jun,PREVIDENCIA SOCIAL,"652.265.207,00","66.484.163,68","306.221.671,41"
7,2016,jun,SAUDE,"2.195.496.303,00","169.729.079,75","875.449.839,84"
8,2016,jun,TRABALHO,"17.827.334,00","1.309.475,09","2.814.681,04"
9,2016,jun,EDUCACAO,"1.436.488.813,00","145.235.578,59","629.668.146,75"
10,2016,jun,CULTURA,"88.398.641,00","11.373.916,06","29.133.520,36"
11,2016,jun,DIREITOS DA CIDADANIA,"58.297.353,00","4.336.160,90","23.093.721,85"
12,2016,jun,URBANISMO,"850.974.051,00","120.010.476,21","460.695.534,83"
13,2016,jun,HABITACAO,"132.108.148,00","2.372.596,48","11.406.587,32"
14,2016,jun,GESTAO AMBIENTAL,"121.621.983,00","10.362.443,23","58.654.396,18"
15,2016,jun,CIENCIA E TECNOLOGIA,"11.238.857,00","303.397,39","1.361.137,84"
16,2016,jun,AGRICULTURA,"105.000,00","0,00","0,00"
17,2016,jun,COMERCIO E SERVICOS,"206.959.021,00","6.161.438,25","11.778.894,94"
18,2016,jun,COMUNICACOES,"110.000,00","0,00","0,00"
19,2016,jun,DESPORTO E LAZER,"34.981.094,00","2.768.227,03","25.701.496,07"
20,2016,jun,ENCARGOS ESPECIAIS,"227.184.997,00","21.531.889,21","76.366.309,60"
21,2016,jun,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,jun,TOTAIS,"7.272.573.519,00","670.984.207,74","3.047.064.495,00"
0,2016,mai,LEGISLATIVA,"159.550.140,00","10.986.664,32","79.725.240,85"
1,2016,mai,JUDICIARIA,"44.437.473,00","3.300.661,99","16.681.073,05"
2,2016,mai,ESSENCIAL A JUSTICA,"110.000,00","3.059,64","36.226,64"
3,2016,mai,ADMINISTRACAO,"724.082.745,00","43.587.432,43","212.576.576,64"
4,2016,mai,SEGURANCA PUBLICA,"193.416.089,00","23.313.169,48","84.275.630,00"
5,2016,mai,ASSISTENCIA SOCIAL,"116.810.270,00","7.040.165,31","32.418.443,92"
6,2016,mai,PREVIDENCIA SOCIAL,"652.265.207,00","49.056.417,34","239.737.507,73"
7,2016,mai,SAUDE,"2.195.496.303,00","153.972.204,74","705.720.760,09"
8,2016,mai,TRABALHO,"17.827.334,00","332.927,93","1.505.205,95"
9,2016,mai,EDUCACAO,"1.436.488.813,00","103.975.448,05","484.432.568,16"
10,2016,mai,CULTURA,"88.398.641,00","1.711.381,52","17.759.604,30"
11,2016,mai,DIREITOS DA CIDADANIA,"58.297.353,00","3.320.907,68","18.757.560,95"
12,2016,mai,URBANISMO,"850.974.051,00","71.434.406,14","340.685.058,62"
13,2016,mai,HABITACAO,"132.108.148,00","2.054.906,48","9.033.990,84"
14,2016,mai,GESTAO AMBIENTAL,"121.621.983,00","8.360.830,30","48.291.952,95"
15,2016,mai,CIENCIA E TECNOLOGIA,"11.238.857,00","221.359,73","1.057.740,45"
16,2016,mai,AGRICULTURA,"105.000,00","0,00","0,00"
17,2016,mai,COMERCIO E SERVICOS,"206.959.021,00","1.788.979,23","5.617.456,69"
18,2016,mai,COMUNICACOES,"110.000,00","0,00","0,00"
19,2016,mai,DESPORTO E LAZER,"34.981.094,00","7.766.637,35","22.933.269,04"
20,2016,mai,ENCARGOS ESPECIAIS,"227.184.997,00","9.101.742,29","54.834.420,39"
21,2016,mai,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,mai,TOTAIS,"7.272.573.519,00","501.329.301,95","2.376.080.287,26"
0,2016,abr,LEGISLATIVA,"159.550.140,00","8.719.054,37","68.738.576,53"
1,2016,abr,JUDICIARIA,"44.437.473,00","3.328.300,64","13.380.411,06"
2,2016,abr,ESSENCIAL A JUSTICA,"110.000,00","12.290,00","33.167,00"
3,2016,abr,ADMINISTRACAO,"724.082.745,00","41.688.120,11","168.989.144,21"
4,2016,abr,SEGURANCA PUBLICA,"193.416.089,00","21.592.475,94","60.962.460,52"
5,2016,abr,ASSISTENCIA SOCIAL,"116.810.270,00","8.519.931,28","25.378.278,61"
6,2016,abr,PREVIDENCIA SOCIAL,"652.265.207,00","50.615.193,02","190.681.090,39"
7,2016,abr,SAUDE,"2.195.496.303,00","145.777.064,77","551.748.555,35"
8,2016,abr,TRABALHO,"17.827.334,00","526.352,90","1.172.278,02"
9,2016,abr,EDUCACAO,"1.436.488.813,00","112.290.629,54","380.457.120,11"
10,2016,abr,CULTURA,"88.398.641,00","4.008.248,04","16.048.222,78"
11,2016,abr,DIREITOS DA CIDADANIA,"58.297.353,00","3.102.819,61","15.436.653,27"
12,2016,abr,URBANISMO,"850.974.051,00","60.362.544,47","269.250.652,48"
13,2016,abr,HABITACAO,"132.108.148,00","1.442.317,52","6.979.084,36"
14,2016,abr,GESTAO AMBIENTAL,"121.621.983,00","14.613.372,65","39.931.122,65"
15,2016,abr,CIENCIA E TECNOLOGIA,"11.238.857,00","227.843,57","836.380,72"
16,2016,abr,AGRICULTURA,"105.000,00","0,00","0,00"
17,2016,abr,COMERCIO E SERVICOS,"206.959.021,00","884.313,78","3.828.477,46"
18,2016,abr,COMUNICACOES,"110.000,00","0,00","0,00"
19,2016,abr,DESPORTO E LAZER,"34.981.094,00","3.141.597,36","15.166.631,69"
20,2016,abr,ENCARGOS ESPECIAIS,"227.184.997,00","13.564.502,50","45.732.678,10"
21,2016,abr,RESERVA DE CONTINGENCIA,"110.000,00","0,00","0,00"
22,2016,abr,TOTAIS,"7.272.573.519,00","494.416.972,07","1.874.750.985,31"
0,2016,mar,LEGISLATIVA,"159.550.140,00","10.599.501,83","60.019.522,16"
1,2016,mar,JUDICIARIA,"44.437.473,00","3.330.805,08","10.052.110,42"
2,2016,mar,ESSENCIAL A JUSTICA,"110.000,00","20.877,00","20.877,00"
3,2016,mar,ADMINISTRACAO,"724.082.745,00","46.903.245,18","127.301.024,10"
